Identificacion;Nombres;Apellidos;Direccion;Telefono convencional;Celular;Patio en el que labora;Edad
1000000000;Juan;Perez;Av. Casa;22000000;980000000;1;25
1000000001;Juan1;Perez1;Av. Casa1;22000001;980000001;1;26
1000000002;Juan2;Perez2;Av. Casa2;22000002;980000002;1;27
1000000003;Juan3;Perez3;Av. Casa3;22000003;980000003;1;28
1000000004;Juan4;Perez4;Av. Casa4;22000004;980000004;1;29
1000000005;Juan5;Perez5;Av. Casa5;22000005;980000005;1;30
1000000006;Juan6;Perez6;Av. Casa6;22000006;980000006;1;31
1000000007;Juan7;Perez7;Av. Casa7;22000007;980000007;1;32
1000000008;Juan8;Perez8;Av. Casa8;22000008;980000008;1;33
1000000009;Juan9;Perez9;Av. Casa9;22000009;980000009;1;34
1000000010;Juan10;Perez10;Av. Casa10;22000010;980000010;1;35
1000000011;Juan11;Perez11;Av. Casa11;22000011;980000011;1;36
1000000012;Juan12;Perez12;Av. Casa12;22000012;980000012;1;37
1000000013;Juan13;Perez13;Av. Casa13;22000013;980000013;1;38
1000000014;Juan14;Perez14;Av. Casa14;22000014;980000014;1;39
1000000015;Juan15;Perez15;Av. Casa15;22000015;980000015;1;40
1000000016;Juan16;Perez16;Av. Casa16;22000016;980000016;1;41
1000000017;Juan17;Perez17;Av. Casa17;22000017;980000017;1;42
1000000018;Juan18;Perez18;Av. Casa18;22000018;980000018;1;43
1000000019;Juan19;Perez19;Av. Casa19;22000019;980000019;1;44
